City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
186,Butaritari,KI,82.08,broken clouds,3.0707,172.7902,Isles Sunset Lodge
187,Yamada,JP,33.4,broken clouds,39.4667,141.95,Iroha-ya Inn
188,Mecca,SA,76.3,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
189,Namibe,AO,78.75,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
190,Gotsu,JP,41.45,scattered clouds,35.0,132.2167,Yurusato
191,Sitrah,BH,64.4,clear sky,26.1547,50.6206,Al Bander Resort
192,Cayenne,GF,82.44,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
193,Port Moresby,PG,74.43,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
196,Constitucion,CL,72.84,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
197,Roald,NO,42.94,broken clouds,62.5833,6.1333,Flem Cabins
200,Inhambane,MZ,78.57,scattered clouds,-23.865,35.3833,Oceano
201,Huarmey,PE,76.26,broken clouds,-10.0681,-78.1522,Hotel Miramar
202,Asfi,MA,64.38,clear sky,32.2994,-9.2372,Hôtel Abda
203,Eyl,SO,76.17,broken clouds,7.9803,49.8164,Amiin Hotel
205,Kruisfontein,ZA,72.72,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
206,Umea,SE,26.53,clear sky,63.8284,20.2597,ProfilHotels | Aveny
207,Manggar,ID,78.82,overcast clouds,-2.8833,108.2667,Guest Hotel
209,Ancud,CL,77.23,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
210,Saint George,US,54.54,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
212,Esperance,AU,64.4,overcast clouds,-33.8667,121.9,Hospitality Esperance
213,Guerrero Negro,MX,67.08,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
214,Kununurra,AU,78.78,few clouds,-15.7667,128.7333,Hotel Kununurra
216,Rio Gallegos,AR,68.05,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
217,Savannah Bight,HN,84.25,clear sky,16.45,-85.85,Villa on Dunbar Rock
218,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
219,Kamennomostskiy,RU,38.07,few clouds,44.2983,40.1856,Guest House Behind the river
220,Broken Hill,AU,75.22,clear sky,-31.95,141.4333,Royal Exchange Hotel
